,fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,seed,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,prob_corte,ganancia,iteracion
20220522,205948,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,21,TRUE,"0,299881783203564","0,738438383931125",3829,161,"0,015262036339338",12496000,130
20220522,210018,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,50,TRUE,"0,090946514296395","0,484856610890332",6075,919,"0,015770407030221",13301000,131
20220522,210040,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,30,TRUE,"0,140182946720678","0,549303548337341",8000,230,"0,015784886609954",12930000,132
20220522,210052,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,19,TRUE,"0,29817095010928","0,993271138738829",8000,239,"0,021487502306852",12929000,133
20220522,210112,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,53,TRUE,"0,099596746954638","0,992990124133585",7994,1023,"0,017475190913577",13190000,134
20220522,210350,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,658,TRUE,"0,010083187757407","0,20117870709412",6605,85,"0,016524336284335",13259000,135
20220522,210639,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,563,TRUE,"0,010021897489748","0,340757171233169",7552,321,"0,016295239922509",13184000,136
20220522,210713,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,86,TRUE,"0,086361930782482","0,37358846320401",4994,672,"0,017358274694637",13131000,137
20220522,210739,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,44,TRUE,"0,091653919100281","0,360497036889871",4076,1024,"0,016353830181259",13489000,138
20220522,210754,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,41,TRUE,"0,298804846259765","0,997496542115683",7993,900,"0,04990032063465",7587000,139
20220522,210834,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,65,TRUE,"0,0749479526492","0,504664223992335",1858,794,"0,014879367500648",13228000,140
20220522,210955,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,223,TRUE,"0,031290726190207","0,390453145700592",2328,83,"0,013673308313508",13654000,141
20220522,211044,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,150,TRUE,"0,038309192105198","0,699546264948083",3316,68,"0,014849440263461",13696000,142
20220522,211359,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,948,TRUE,"0,010153604435001","0,200965290114383",7666,897,"0,015887713861027",13158000,143
20220522,211422,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,58,TRUE,"0,096090690050605","0,830436400680043",4733,81,"0,016022795515004",12930000,144
